"display_title" "opening_date" "publication_date" "url" "critics_pick" "review" "sentiment_score" "genre.x" "MPAA_rating" "distributor" "production_budget" "opening_weekend" "domestic_total_gross" "foreign_box_office" "widest_release_theaters" "release_date" "close_date" "in_release_days" "in_release_weeks"
Abbie and Julie assume their responsibilities seriously. Julie, who smokes like a Frenchwoman and reads Judy Blume, shares battle stories and wounds from the sexual front. Abbie gives Jamie records and books, including “Our Bodies, Ourselves,” that liberatory classic about women’s health and sexuality. It’s as eye-opening for Jamie as “Sisterhood Is Powerful,” the radical feminist anthology that he first opens with almost spiritual reverence — or is it trepidation? (Later, when he explains the female orgasm to an acquaintance, one of those playground braggarts, the other guy pummels him.) Jamie’s sentimental education is also a kind of encounter session.
It’s a witty and loose coalition of like minds, complete with skateboarding, dancing, loving and lived-in talk. A lot of that chatter is humorous — often gentle and wry, on rare occasion uproarious — but there’s also a powerful undertow of loss running through the movie. There are sorrows and tragedies, one involving a story thread that allows Ms. Gerwig to root around in grief and a scene in which she uncomfortably, hilariously, clears the room. For her part, Ms. Fanning drifts in and out like a dream (Jamie’s and Mr. Mills’s), a magnificent emissary from that seductive land called Young and Beautiful. You simultaneously see the girl Julie is and the girl that she’s on the verge of leaving behind.
For a memoirist, Mr. Mills is uncommonly generous. Abbie, Julie and William, who sexily floats around the periphery (Mr. Crudup is superb at not quite stealing his scenes), are so persuasively detailed that all three could spin off into a separate movie; each has both sting and tenderness nearing grace. Yet these three and even Jamie pale next to Dorothea, who’s satisfyingly complex, especially for a movie mother. Dorothea is at once laid back and uptight, which Ms. Bening conveys with moments of shambling, gestural looseness and sudden emotional spikiness. She floods the screen with warmth, threatens to burn the joint down and, with Mr. Mills, turns contradictions into character.
Mr. Mills roots around Dorothea’s unease but never quite figures it or her out, which deepens the movie. People are mysterious and parents are too, partly because you never really catch up to them. So you take stock, stare at family photographs and sift through mementos. Mr. Mills does something similar narratively as he samples the era’s music, signposts and shards, all while circling Dorothea. Fittingly, given the title, in “20th Century Women,” he also situates her in history. (The character is named after the photographer Dorothea Lange.) “My mom was born in 1924,” Jamie says in voice-over early, as the screen fills with black-and-white footage of period despair. Those ghostly images stick with you, even after the story lightens. Mr. Mills has worked in graphic design and as a music-video director, and while setting up the story he folds in snapshot-like scenes from Jamie and Dorothea’s origin stories, from a ravishing oceanic opening shot to her Depression roots, him as a grasping newborn infant and Gerald Ford stumbling. There’s a kind of restlessness in the way these images pile up, to the movie’s accumulation of album covers, its books, snatches of jazz and glimpses of Humphrey Bogart making love to Ingrid Bergman. It’s as if Mr. Mills were riffling through an encyclopedia, searching for the perfect entry, which he’s creating before your eyes." 0.999906952 "Comedy" "R" "A24" "" "" "$5,664,764 " "" "4" "2-Jun-89" "26-Jun-89" "" NA
"5" "4 Days in France" "8/1/2017" "8/3/2017" "http://www.nytimes.com/2017/08/03/movies/four-days-in-france-review.html" 0 "There’s a peculiarly spellbinding quality to “4 Days in France” that is partly attributable to its premise. This feature debut of the writer and director Jérôme Reybaud opens with a baby-faced 30-something, Pierre (Pascal Cervo), training a phone flashlight on his lover Paul (Arthur Igual). He then leaves Paul’s Paris apartment and drives an Alfa Romeo into rural France. The fantasy of walking out on your life and aimlessly wandering around can beguile even the most contentedly domesticated among us.
Pierre is also looking to quench a thirst. He regularly checks his Grindr app, and at a roadside restroom, scans the stall graffiti and calls a number advertising sex services. He also picks up people along the roadside, not for cruising purposes, but to be of help. The first is a middle-age woman who is booked to sing at a senior home. The characters encountered are a bit more colorful than the ones you are likely to come across in real life, but not so much that they seem overtly allegorical. As Pierre roams, Paul embarks on a quest of his own, traveling to the center of the country to look for his lover via concentric Grindr circles.
Some of this story is mildly whimsical, and there are ramps into some kind of magical realism (a blizzard at the French-Italian border is a little far-fetched). There are a lot of shots from behind a car windshield. These are more allied with Vincent Gallo’s “The Brown Bunny” than with Monte Hellman’s more lyrical “Two-Lane Blacktop.” While Mr. Reybaud has exemplary artistic confidence and an interesting vision, this is a movie that in many ways defines or justifies the “not for everybody” critical hedge." 0.538835086 "Comedy" "Unrated" "Cinema Guild" "" "$2,798 " "$38,960 " "$37,059,000 " "1,249" "21-Nov-86" "" "" NA
"6" "47 Meters Down" "6/16/2017" "6/15/2017" "http://www.nytimes.com/2017/06/15/movies/47-meters-down-review.html" 0 "Featuring multiple variations of “It’s gonna be fine!” and “The shark almost got me!,” the superlatively lame dialogue spoken by the heroines of “47 Meters Down” — two sisters who choose the wrong boat for their shark-cage diving expedition in Mexico — threatens to turn this would-be horror movie into a hoot.
In the lulls between bouts of yammering, however, the director, Johannes Roberts, concentrates on building a solid atmosphere of desperation as a winch accident deposits the women unceremoniously on the ocean floor. Captured by Mark Silk’s darting camera, and in water so clouded that the computer-generated predators more than pass visual muster, their misadventures are casually entertaining.
Less so are the movie’s slapdash setup and paper-thin characterizations. Lisa (the appealing Mandy Moore), is a recent dumpee who’s eager to prove to her ex that she’s not nearly as boring as he believes. Her younger sister, Kate (Claire Holt), is merely the free spirit who goads Lisa into the water. Above them, an improbably cast Matthew Modine plays the captain of a boat so sketchy looking that it’s a wonder any of his passengers make it back to shore.
Shot in gigantic water tanks outside London and in the Dominican Republic, “47 Meters Down” — despite a clever final section — struggles to extract tension from clamor and agitation. Mr. Roberts should have studied Chris Kentis’s 2004 frightener, “Open Water,” which coaxed throat-closing dread from little more than a silent horizon and a diver’s legs waving below the surface like fronds of seaweed. Sometimes it’s scarier when no one can hear you scream." 0.018362532 "Horror" "PG-13" "Entertainment Studios" "$5,500,000 " "$11,205,561 " "$44,307,192 " "" "395" "16-Nov-17" "16-Nov-17" "1" 0.1
"7" "6 Days" "8/18/2017" "8/17/2017" "http://www.nytimes.com/2017/08/17/movies/6-days-review-jamie-bell.html" 0 "“6 Days” is drawn from a real event in 1980 when gunmen who identified themselves as members of Iran’s Arabic-speaking minority took 26 hostages at the Iranian Embassy in London. (The unrelated Iran hostage crisis was unfolding in Tehran at the time.)
From a structural standpoint, what is interesting about this dramatization of events is that it only occasionally strays from the vantage points of those on the outside. That puts the viewer in the shoes of the government officials and other onlookers as they weigh various options — loading the hostage-takers onto a bus to Heathrow Airport and raiding the bus, entering the embassy through a skylight — for ending the situation.
The factions are accorded one major actor apiece: Mark Strong is an inspector with a police negotiations team, Abbie Cornish is a BBC News reporter, Jamie Bell is a member of Britain’s Special Air Service and Tim Pigott-Smith (who died in April) is William Whitelaw, Britain’s home secretary. Over the phone, Mr. Strong’s character builds trust with the gunmen’s leader (Ben Turner). The last thread most compels the director, Toa Fraser, to violate the strictures on perspective.
With a barrage of title-card identifications, “6 Days” can feel closer to a re-enactment than a thriller. To the extent that the movie has a political angle, it’s perhaps gratuitously jingoistic. A closing note that the captors “lie in unmarked graves in East London” seems out of step with what precedes it." 0.765959051 "Action" "R" "Vertical Entertainment" "" "" "" "" "2,057" "9-Jan-98" "" "" NA
"8" "A Bad Moms Christmas" "11/1/2017" "11/2/2017" "http://www.nytimes.com/2017/11/02/movies/a-bad-moms-christmas.html" 0 "Opposed as I am to sequels of any description, I have to allow that one can never have enough Kathryn Hahn. Add the magnificent Christine Baranski to the mix and “A Bad Moms Christmas,” while still a slog of base sight gags and lazy profanity, becomes marginally more bearable.
Only marginally, given that this pitiful follow-up to last year’s “Bad Moms” is even less able to distinguish between crass and comedic. (To the writers and directors, Jon Lucas and Scott Moore, they’re apparently the same thing.) Adding an extra schmear of bad mothers, the plot finds our three originals (Kristen Bell, Mila Kunis and Ms. Hahn) buckling under the stress of Christmas and appalled when their own mothers (played by Ms. Baranski, Cheryl Hines and Susan Sarandon) show up for the holiday.
The new arrivals, complete with a single neurosis apiece — the grifter, the clinger, the perfectionist — infantilize and infuriate their daughters, who vow to “take back Christmas.” This rebellion, staged in raucous montages in a mall and elsewhere, involves getting plastered at the food court, terrorizing Santa with cleavage and assaulting strangers and one another. Worst of all is an extended sequence where Ms. Hahn’s character gives a Brazilian wax to a prodigiously endowed male client, who verbally guides us from stem to stern with disgusting specificity. At the same time, the movie’s presumably normally gifted men are as superfluous to the proceedings as a thesaurus in the writers’ room.
Set in a suburban nightmare of oppressive expectations, “A Bad Moms Christmas” ends with its own sequel already cued up.
“I have heart cancer,” Ms. Hines’s character says at one point in a vain attempt to halt her daughter’s complaints. I think I know exactly what she meant." 0.004272824 "Action" "R" "STX Entertainment" "$28,000,000 " "$16,759,161 " "$72,110,659 " "" "1,566" "14-Aug-96" "" "" NA
"9" "A Cure for Wellness" "2/17/2017" "2/16/2017" "http://www.nytimes.com/2017/02/16/movies/a-cure-for-wellness-review.html" 0 "Outside of a sushi context, I don’t usually spend much time thinking about eels, but “A Cure for Wellness” gave me no choice. Ever since the screening, I’ve been wondering about those slithery creatures, which you may have noticed in the trailers and the posters, where a bunch of them share a bathtub with Mia Goth, one of the movie’s stars.
Not wondering in the “What does it mean?” sense, mind you. Anyone who has even a slight acquaintance with Freudian theory or Japanese erotica will grasp the psychosexual significance of those eels, who live in the aquifer underneath an Alpine spa and occasionally make their way into the plumbing and beyond. My questions are of a more basic nature: How did they get down there in the first place? Are they an invasive species or part of the native ecosystem? What evolutionary process might account for their curiously symbiotic relationship with the spa’s human residents?
It would be unfair to blame the director, Gore Verbinski, or the screenwriter, Justin Haythe, for declining to provide a thorough explanation. “A Cure for Wellness” defiantly and splendidly flouts the tenets of plausibility and coherence, which have never interested Mr. Verbinski very much. His résumé, after all, includes “The Lone Ranger” (also written by Mr. Haythe), “Rango” and, most notably, the first three “Pirates of the Caribbean” movies. He comes by his knack for enjoyable nonsense as honestly as his taste for aquatic fauna.
The eels may be the key to the puzzle posed by his latest project, or they may be (forgive me) a red herring. Maybe it would be best to drop the piscatory metaphors altogether. “A Cure for Wellness” is a lustrous box of genre candy, the self-revealing work of an auteur who has laid bare not so much his psyche as his online streaming queue. To watch this movie is, above all, to make a list of all the other movies it evokes, sometimes with a literalness that treads the boundary between homage and outright plagiarism.
You will notice a lot of Martin Scorsese’s “Shutter Island” here, as a dogged young man (Dane DeHaan) makes his way through an asylum-like complex of buildings in search of answers, only to become ever more deeply ensnared in the place’s sinister mysteries. You may also catch echoes of Paolo Sorrentino’s “Youth” in the mountain rest-cure setting, the weary disdain for modern life and the visual voluptuousness. Mr. Verbinski doesn’t so much observe shiny surfaces and opulent furnishings as caress them, sending a frisson of visual delight through his camera as it glides down corridors and soars over wooded glades.
There’s a bit of Guillermo del Toro’s “Crimson Peak” in the exuberant gothic creepiness, especially as the plot moves from corporate thriller to psychological melodrama to full-on creep show, complete with incest, medical experiments and ghoulish aristocratic shenanigans. And while these recent movies are the most obvious and distracting influences, an intrepid viewer will pick up hints of Hitchcock and Kubrick (and also, but only at the very end, of Spielberg), of “Suspiria” and Mario Bava.
It’s all in good fun, really, though two and a half hours may be more of this kind of fun than a body can stand. You might feel like you’re in the company of a manic cinephile friend breathlessly recounting his favorite movie scenes in no particular order. You admire his devotion, his taste and his scholarship, but in the end the experience is probably more satisfying for him than it is for you.
Still, the company isn’t bad. Mr. DeHaan brings an air of curdled innocence that inspires an interesting ambivalence. You sort of root for his character, a Wall Street hotshot named Lockhart, but you also kind of hope he suffers, since he’s a selfish, ill-mannered jerk. Dispatched by his bosses to retrieve an executive who has vanished in Switzerland, Lockhart, who is haunted by memories of his father’s suicide, finds himself in the company and eventually the care of Dr. Volmer (Jason Isaacs), a suave Continental with unnervingly impeccable manners. Mr. Isaacs is the kind of silken, charismatic villain that you can’t wait to see again.
More plot summary would be an offense against Mr. Verbinski’s demented inventiveness. Lockhart also encounters a curious elderly patient (Celia Imre), a heavy-eyed limo driver (Ivo Nandi), a tavern full of hostile young locals and a dreamy girl named Hannah (Ms. Goth, looking like a ’70s fantasy hybrid of Shelley Duvall and Sissy Spacek). There are clues and false leads, shocking discoveries and bouts of talking-bad-guy exposition, narrow escapes and fights to the death. And those eels, of course. You’ll figure it all out for yourself, or not. In any case, the moral of the story turns out to be a bit of advice often given to travelers: Don’t drink the water." 0.989199518 "Mystery" "R" "Fox" "$40,000,000 " "$4,356,941 " "$8,106,986 " "" "730" "7-Nov-86" "" "" NA
"10" "A Ghost Story" "7/7/2017" "7/5/2017" "http://www.nytimes.com/2017/07/05/movies/review-a-ghost-story.html" 1 "For perfectly good reasons, the literature of grief dwells on the experiences of the living, the survivors who grapple with the pain of loss and the puzzle of absence. But maybe the dead have feelings, too. That, when you think about it, is the premise of a great many ghost stories, and also of “A Ghost Story,” David Lowery’s ingenious and affecting new film.
The specter whose story this is — let’s call him Ghostie, since even when he’s alive we never learn his name — indulges in some of the usual haunting behaviors. He knocks books off shelves, makes light bulbs flicker, opens closet doors in the middle of the night and subjects a terrified family to a full-scale, crockery-smashing supernatural tantrum.
The effect of all of this on the viewer is strange and intense but not exactly scary in the expected horror-movie manner. In an age of expanded, digitally enabled ectoplasmic possibility, Mr. Lowery takes a tried-and-true, low-tech, Halloween-costume approach. Ghostie is a bedsheet with eyeholes. Possibly with some digital enhancement, but basically a 6-year-old’s idea of a ghost. And why not? We intuit his moods through the drape and droop of the fabric (the thread count looks pretty decent), and infer a brooding, smoldering temperament behind the cloth. This may be because the person inside — or at least the person Ghostie used to be — is Casey Affleck.
Before his transformation into the title character, Mr. Affleck and Rooney Mara — her character is also unnamed — live together in a ranch house in the middle of somewhere. They argue a little about moving, but otherwise they pursue a low-key, harmonious, semi-bohemian existence. He writes songs and experiments with sound. She goes off to work in the morning. They whisper and look gorgeous and occasionally exchange tender, tentative smiles. In some ways these two (and the other human beings who show up from time to time) are the real ghosts in the story — abstract, almost theoretical creatures floating in and out of Ghostie’s troubled consciousness.
The couple’s brief time together sets a hushed, poignant tone and establishes the dramatic and emotional limits within which “A Ghost Story” will operate. Not that there aren’t jolts and surprises. Just when you think you’ve cracked the film’s circumscribed logic, it opens up and goes wild in ways at once too wondrous and too preposterous to spoil. As a metaphysician, Mr. Lowery is not hung up on rules, but as a storyteller and an orchestrator of emotional effects he appreciates the need for coherence.
Ghostie is not the only one of his kind in the movie. The dead (at least some of them) can communicate directly with one another and passive aggressively with the living. They can travel in time but not in space, which explains the existence of haunted houses. They witness our suffering and fear but have only the most limited ability to intervene, even though they seem to inhabit, albeit invisibly, the same physical world we do. After a while, Ghostie’s sheet starts looking rumpled and dirty. It’s the only one he has, and he’s been wearing it for a very long time.
And time — the ways it can accelerate through years, freeze in moments and defy measurement altogether — is Mr. Lowery’s chief preoccupation here, his major theme and his raw material. At one point, early in her bereavement, Ms. Mara comes home to find a pie left for her by a well-meaning acquaintance. As Ghostie looks on, she takes a few forkfuls and then slumps down against a cabinet and keeps eating, without haste but also without pausing for breath. The camera stays on her for several minutes, which feels like an eternity. Eternity, though, is poor Ghostie’s problem.
For him the calendar and the clock have no meaning, and as the film proceeds, growing darker and stranger, we feel his impatience and disorientation. What we don’t feel is the boredom that must surely be part of the story of his long afterlife. “A Ghost Story” is suspenseful, dourly funny and at times piercingly emotional. Daniel Hart’s musical score is full of pathos and longing, compensating — maybe almost overcompensating — for the literal deadpan of the protagonist.
The movie may be built around a conceptual gimmick, but it feels less self-conscious than Mr. Lowery’s other recent films, the gloomy Southern crime story “Ain’t Them Bodies Saints” (also starring Mr. Affleck and Ms. Mara) and the sweet, borderline-twee remake of the ’70s children’s weepie “Pete’s Dragon.” “A Ghost Story” works so well because it shouldn’t work at all. Starting with a quote from Virginia Woolf, it wears its literary pedigree on its sleeve, yet it manages to feel fresh and inventive rather than stale or studied. It’s like an old tale by Saki or Henry James read for the first time: hair-raising and clever, a tour de force of sensation and a triumph of craft.
Movies these days are abuzz with all kinds of paranormal activity, most of it aimed at delivering easy, superficial terror. The scariest scene in “A Ghost Story” may be the most human, when a random guy at a party won’t stop talking about the meaningless of existence in an indifferent universe. Dude, we know! Shut up! Ghostie’s silence at that moment speaks volumes, and his inscrutable presence is a reminder that fright may be an unjust, irrational response to him and his kind. We fear what we don’t understand, and a ghost is only human, after all." 0.96894374 "Drama" "R" "A24" "$100,000 " "$104,030 " "$1,596,371 " "" "3" "24-Dec-96" "" "6" 0.9
"11" "A Monster Calls" "1/6/2017" "12/22/2016" "http://www.nytimes.com/2016/12/22/movies/a-monster-calls-review.html" 0 "The formidable creature looming over “A Monster Calls” is one of the more unnerving, impressive special-effects creations of the year. Whether it and the movie in general are too intense for younger children is something parents need to ask themselves. A PG-13 rating is sometimes an overreaction to a curse word or two, but here it’s a useful caution.
The central human character is a 12-year-old, Conor O’Malley (Lewis MacDougall), who as the movie opens is having one heck of a nightmare: He and his mother (Felicity Jones) are in a churchyard as the ground begins collapsing around them, and she is in danger of being sucked away into an abyss. No subtlety or pussyfooting around here; we soon learn that the mother is fatally ill and in the midst of a drawn-out death.
If the opening moments are striking, what comes next is even more so: Conor’s imagination calls forth a monstrous yew tree that talks in the voice of Liam Neeson. It is one impressive cinematic creation, and it leads Conor on a journey intended to help him confront the realities he faces and his innermost thoughts about them.
Those realities, by the way, do not merely involve his dying mother. He is being bullied at school. He has issues with his father (Toby Kebbell), who left the family years ago and started another far away. His grandmother (Sigourney Weaver) wants him to come live with her, but he finds her cold and off-putting.
That’s a lot to load onto one boy — too much, really. The story (by Patrick Ness, from an idea by Siobhan Dowd) seems to be trying to check every box on the Things That Might Trouble a Child list, when really “dying parent” is quite enough.
To “overstuffed” you could also add “overblown.” Yes, children can have vivid imaginations, but Conor’s visions seem almost too big for his preteen head, an inner kiddie landscape as dreamed up by a special-effects studio.
That said, the film, directed by J. A. Bayona, certainly dares to be darker and more substantial than the average family movie. The monster, who Conor soon realizes is there to help, not harm him, tells the boy three stories, none of them delivering pat messages or answers. It’s a short course in the complexities and contradictions of life.
“There is not always a good guy, Conor O’Malley,” the tree tells him at one point, “nor is there always a bad one.”
The goal is to induce Conor to tell his own story — that is, to admit to himself what he really feels and wants. When he finally does — Mr. MacDougall is quite good, by the way — a climactic scene more frightening than all the ones before brings the boy some closure, or at least some understanding of how to cope with a world that can be harsh.
It’s a catharsis painted with bold, noisy imagery, one that makes death an overwhelming tsunami. If you prefer to view dying as a natural part of life, a step in a cycle, this film will feel discordant and perhaps counterproductive. But visually it will certainly stick with you, and your children." 0.900107479 "Drama" "PG-13" "Focus Features" "" "" "$3,740,823 " "" "24" "29-Nov-13" "16-Jan-14" "49" 7
"12" "A Taxi Driver" "8/11/2017" "8/10/2017" "http://www.nytimes.com/2017/08/10/movies/a-taxi-driver-review.html" 0 "With “A Taxi Driver,” the director Jang Hun (“The Front Line”) takes historical events in South Korea — the imposition of martial law in 1980 by the dictator Chun Doo-hwan — to construct an affecting what-if tale. The plot has a factual basis: the relationship between a German TV journalist, Jürgen Hinzpeter, and the cabdriver who drove him from Seoul to the locked-down city of Gwangju, at the time a hotbed of pro-democracy student rebellion and violent repression. While the real-life name of the cabby and his ultimate fate are unclear (his name may have been Kim Sa-bok), the film calls him Kim Man-seob and gives him a poignant back story and destiny.
Kim (Song Kang-ho) is a garrulous if gruff widowed father to an 11-year-old girl, impatient with traffic jams resulting from protests in Seoul. If it weren’t for the back rent he owes, he wouldn’t need to take Hinzpeter (Thomas Kretschmann) to the besieged Gwangju. But when he does, they witness a huge street demonstration that is met with tear gas and military brutality. The soft-spoken Hinzpeter is determined to smuggle footage of the dictatorship’s abuses to a German news organization, while the heretofore neutral Kim comes to realize the urgency of Hinzpeter’s mission.
The film climaxes with a breathless escape from Gwangju, as Kim and Hinzpeter elude government vehicles with the aid of other cabdrivers. But most impressive is Mr. Song, who persuasively conveys a working stiff’s political awakening." 0.566176481 "Action" "Unrated" "Well Go USA" "" "$331,854 " "$1,527,829 " "" "41" "14-Jun-02" "10-Oct-02" "" NA
"13" "A United Kingdom" "2/10/2017" "2/9/2017" "http://www.nytimes.com/2017/02/09/movies/review-a-united-kingdom-with-love-that-tested-racial-tolerance.html" 1 "Addressing a world that is still (even after the precedent set by the presidency of Barack Obama) increasingly afflicted by institutionalized racism and all manner of bigotries, “A United Kingdom” looks back to mid-20th-century history to create a love-conquers-much-if-not-all tale of interracial marriage and international politics.
The story is of Seretse Khama, heir to the kingship of an African people, who was attending school in Britain during the late 1940s. At a church dance, Seretse, played by David Oyelowo, meets Ruth Williams (Rosamund Pike). The two eye each other warily as the band bleats. He asks her if she likes jazz; she insists she does, only not as she’s ever heard any British musicians play it. Soon they are swapping 78s by mail, and dating. One night he kneels to propose.
There are, of course, complications. A good number of them are predictable, but they go deeper than a viewer unfamiliar with their story might have expected. Seretse’s homeland, Bechuanaland (now Botswana), an African protectorate under British control, sits directly above South Africa, which in the late 1940s was instituting the murderous policy of apartheid. The British, therefore, were deeply invested in not alienating South Africa’s rulers. And Seretse’s uncle is not keen on the returning king bringing home a white queen.
